fact_id,victim,condition,fact_type,n_turns_engaged,n_turns_total,engagement_ratio,valid,reason
epi_lead_116,llama,bare,episodic,12,12,1.0,True,
epi_color_119,llama,bare,episodic,12,12,1.0,True,
epi_lead_101,llama,bare,episodic,12,12,1.0,True,
epi_lead_056,llama,bare,episodic,12,12,1.0,True,
epi_assign_015,llama,bare,episodic,12,12,1.0,True,
epi_dept_073,llama,bare,episodic,12,12,1.0,True,
epi_room_012,llama,bare,episodic,12,12,1.0,True,
epi_color_074,llama,bare,episodic,12,12,1.0,True,
epi_assign_070,llama,bare,episodic,12,12,1.0,True,
epi_assign_075,llama,bare,episodic,12,12,1.0,True,
epi_assign_020,llama,bare,episodic,12,12,1.0,True,
epi_color_024,llama,bare,episodic,12,12,1.0,True,
epi_assign_000,llama,bare,episodic,12,12,1.0,True,
epi_dept_063,llama,bare,episodic,12,12,1.0,True,
epi_color_014,llama,bare,episodic,11,12,0.9166666666666666,True,
epi_dept_068,llama,bare,episodic,12,12,1.0,True,
epi_room_077,llama,bare,episodic,12,12,1.0,True,
epi_room_102,llama,bare,episodic,12,12,1.0,True,
epi_assign_065,llama,bare,episodic,10,12,0.8333333333333334,True,
epi_color_054,llama,bare,episodic,12,12,1.0,True,
epi_room_072,llama,bare,episodic,12,12,1.0,True,
epi_dept_108,llama,bare,episodic,12,12,1.0,True,
epi_lead_081,llama,bare,episodic,12,12,1.0,True,
epi_color_069,llama,bare,episodic,12,12,1.0,True,
epi_assign_050,llama,bare,episodic,12,12,1.0,True,
epi_lead_111,llama,bare,episodic,12,12,1.0,True,
epi_lead_016,llama,bare,episodic,12,12,1.0,True,
epi_lead_091,llama,bare,episodic,12,12,1.0,True,
epi_color_089,llama,bare,episodic,12,12,1.0,True,
epi_dept_088,llama,bare,episodic,12,12,1.0,True,
epi_color_114,llama,bare,episodic,12,12,1.0,True,
epi_dept_078,llama,bare,episodic,12,12,1.0,True,
epi_dept_113,llama,bare,episodic,12,12,1.0,True,
epi_assign_090,llama,bare,episodic,12,12,1.0,True,
epi_assign_095,llama,bare,episodic,6,12,0.5,True,
epi_room_092,llama,bare,episodic,12,12,1.0,True,
epi_lead_096,llama,bare,episodic,12,12,1.0,True,
epi_room_117,llama,bare,episodic,12,12,1.0,True,
epi_room_107,llama,bare,episodic,12,12,1.0,True,
epi_dept_008,llama,bare,episodic,12,12,1.0,True,
epi_room_032,llama,bare,episodic,12,12,1.0,True,
epi_assign_040,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_room_057,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_061,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_079,llama,cot,episodic,12,12,1.0,True,
epi_lead_076,llama,cot,episodic,12,12,1.0,True,
epi_color_049,llama,cot,episodic,8,12,0.6666666666666666,True,
epi_room_017,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_dept_098,llama,cot,episodic,9,12,0.75,True,
epi_color_034,llama,cot,episodic,9,12,0.75,True,
epi_color_064,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_room_042,llama,cot,episodic,12,12,1.0,True,
epi_assign_085,llama,cot,episodic,12,12,1.0,True,
epi_dept_038,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_lead_036,llama,cot,episodic,12,12,1.0,True,
epi_assign_060,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_dept_048,llama,cot,episodic,12,12,1.0,True,
epi_lead_051,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_021,llama,cot,episodic,9,12,0.75,True,
epi_assign_115,llama,cot,episodic,12,12,1.0,True,
epi_dept_083,llama,cot,episodic,12,12,1.0,True,
epi_room_002,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_room_007,llama,cot,episodic,12,12,1.0,True,
epi_dept_058,llama,cot,episodic,9,12,0.75,True,
epi_color_084,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_071,llama,cot,episodic,12,12,1.0,True,
epi_lead_006,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_dept_093,llama,cot,episodic,7,12,0.5833333333333334,True,
epi_assign_100,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_029,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_lead_041,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_room_112,llama,cot,episodic,12,12,1.0,True,
epi_room_052,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_026,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_room_067,llama,cot,episodic,9,12,0.75,True,
epi_lead_066,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_dept_103,llama,cot,episodic,12,12,1.0,True,
epi_assign_005,llama,cot,episodic,12,12,1.0,True,
epi_dept_023,llama,cot,episodic,12,12,1.0,True,
epi_dept_053,llama,cot,episodic,12,12,1.0,True,
epi_lead_001,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_color_044,llama,cot,episodic,8,12,0.6666666666666666,True,
epi_color_019,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_room_047,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_assign_105,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_room_022,llama,cot,episodic,9,12,0.75,True,
epi_assign_030,llama,cot,episodic,12,12,1.0,True,
epi_assign_025,llama,cot,episodic,8,12,0.6666666666666666,True,
epi_color_099,llama,cot,episodic,4,12,0.3333333333333333,True,
epi_lead_031,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_dept_013,llama,cot,episodic,12,12,1.0,True,
epi_room_087,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_009,llama,cot,episodic,12,12,1.0,True,
epi_dept_018,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_color_004,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_room_027,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_011,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_039,llama,cot,episodic,12,12,1.0,True,
epi_dept_118,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_room_037,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_116,llama,cot,episodic,12,12,1.0,True,
epi_color_119,llama,cot,episodic,9,12,0.75,True,
epi_lead_101,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_lead_056,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_assign_015,llama,cot,episodic,8,12,0.6666666666666666,True,
epi_dept_073,llama,cot,episodic,9,12,0.75,True,
epi_room_012,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_074,llama,cot,episodic,12,12,1.0,True,
epi_assign_070,llama,cot,episodic,9,12,0.75,True,
epi_assign_075,llama,cot,episodic,12,12,1.0,True,
epi_assign_020,llama,cot,episodic,12,12,1.0,True,
epi_color_024,llama,cot,episodic,12,12,1.0,True,
epi_assign_000,llama,cot,episodic,9,12,0.75,True,
epi_dept_063,llama,cot,episodic,12,12,1.0,True,
epi_color_014,llama,cot,episodic,9,12,0.75,True,
epi_dept_068,llama,cot,episodic,9,12,0.75,True,
epi_room_077,llama,cot,episodic,12,12,1.0,True,
epi_room_102,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_assign_065,llama,cot,episodic,9,12,0.75,True,
epi_color_054,llama,cot,episodic,9,12,0.75,True,
epi_room_072,llama,cot,episodic,12,12,1.0,True,
epi_dept_108,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_lead_081,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_color_069,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_assign_050,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_lead_111,llama,cot,episodic,8,12,0.6666666666666666,True,
epi_lead_016,llama,cot,episodic,12,12,1.0,True,
epi_lead_091,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_089,llama,cot,episodic,9,12,0.75,True,
epi_dept_088,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_color_114,llama,cot,episodic,12,12,1.0,True,
epi_dept_078,llama,cot,episodic,12,12,1.0,True,
epi_dept_113,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_assign_090,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_assign_095,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_room_092,llama,cot,episodic,8,12,0.6666666666666666,True,
epi_lead_096,llama,cot,episodic,12,12,1.0,True,
epi_room_117,llama,cot,episodic,10,12,0.8333333333333334,True,
epi_room_107,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_dept_008,llama,cot,episodic,11,12,0.9166666666666666,True,
epi_room_032,llama,cot,episodic,9,12,0.75,True,
sem_040,llama,bare,semantic,12,12,1.0,True,
sem_057,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_061,llama,bare,semantic,12,12,1.0,True,
sem_079,llama,bare,semantic,12,12,1.0,True,
sem_076,llama,bare,semantic,12,12,1.0,True,
sem_049,llama,bare,semantic,12,12,1.0,True,
sem_017,llama,bare,semantic,12,12,1.0,True,
sem_034,llama,bare,semantic,12,12,1.0,True,
sem_064,llama,bare,semantic,12,12,1.0,True,
sem_042,llama,bare,semantic,12,12,1.0,True,
sem_085,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_038,llama,bare,semantic,12,12,1.0,True,
sem_036,llama,bare,semantic,12,12,1.0,True,
sem_060,llama,bare,semantic,12,12,1.0,True,
sem_048,llama,bare,semantic,6,12,0.5,True,
sem_051,llama,bare,semantic,12,12,1.0,True,
sem_021,llama,bare,semantic,12,12,1.0,True,
sem_097,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_083,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_002,llama,bare,semantic,12,12,1.0,True,
sem_007,llama,bare,semantic,12,12,1.0,True,
sem_058,llama,bare,semantic,12,12,1.0,True,
sem_071,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_006,llama,bare,semantic,12,12,1.0,True,
sem_029,llama,bare,semantic,12,12,1.0,True,
sem_041,llama,bare,semantic,12,12,1.0,True,
sem_081,llama,bare,semantic,12,12,1.0,True,
sem_052,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_026,llama,bare,semantic,12,12,1.0,True,
sem_067,llama,bare,semantic,12,12,1.0,True,
sem_066,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_086,llama,bare,semantic,12,12,1.0,True,
sem_005,llama,bare,semantic,12,12,1.0,True,
sem_023,llama,bare,semantic,12,12,1.0,True,
sem_053,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_001,llama,bare,semantic,12,12,1.0,True,
sem_044,llama,bare,semantic,12,12,1.0,True,
sem_019,llama,bare,semantic,12,12,1.0,True,
sem_047,llama,bare,semantic,12,12,1.0,True,
sem_096,llama,bare,semantic,12,12,1.0,True,
sem_046,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_030,llama,bare,semantic,12,12,1.0,True,
sem_011,llama,bare,semantic,12,12,1.0,True,
sem_092,llama,bare,semantic,12,12,1.0,True,
sem_015,llama,bare,semantic,12,12,1.0,True,
sem_012,llama,bare,semantic,12,12,1.0,True,
sem_098,llama,bare,semantic,12,12,1.0,True,
sem_100,llama,bare,semantic,12,12,1.0,True,
sem_084,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_078,llama,bare,semantic,12,12,1.0,True,
sem_062,llama,bare,semantic,12,12,1.0,True,
sem_013,llama,bare,semantic,12,12,1.0,True,
sem_004,llama,bare,semantic,12,12,1.0,True,
sem_045,llama,bare,semantic,12,12,1.0,True,
sem_009,llama,bare,semantic,12,12,1.0,True,
sem_082,llama,bare,semantic,12,12,1.0,True,
sem_050,llama,bare,semantic,10,12,0.8333333333333334,True,
sem_069,llama,bare,semantic,12,12,1.0,True,
sem_093,llama,bare,semantic,12,12,1.0,True,
sem_037,llama,bare,semantic,12,12,1.0,True,
sem_101,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_054,llama,bare,semantic,12,12,1.0,True,
sem_025,llama,bare,semantic,12,12,1.0,True,
sem_056,llama,bare,semantic,12,12,1.0,True,
sem_088,llama,bare,semantic,12,12,1.0,True,
sem_087,llama,bare,semantic,10,12,0.8333333333333334,True,
sem_022,llama,bare,semantic,12,12,1.0,True,
sem_020,llama,bare,semantic,10,12,0.8333333333333334,True,
sem_024,llama,bare,semantic,12,12,1.0,True,
sem_000,llama,bare,semantic,12,12,1.0,True,
sem_014,llama,bare,semantic,12,12,1.0,True,
sem_070,llama,bare,semantic,12,12,1.0,True,
sem_043,llama,bare,semantic,12,12,1.0,True,
sem_010,llama,bare,semantic,10,12,0.8333333333333334,True,
sem_089,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_074,llama,bare,semantic,12,12,1.0,True,
sem_055,llama,bare,semantic,12,12,1.0,True,
sem_099,llama,bare,semantic,12,12,1.0,True,
sem_094,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_068,llama,bare,semantic,12,12,1.0,True,
sem_072,llama,bare,semantic,12,12,1.0,True,
sem_027,llama,bare,semantic,12,12,1.0,True,
sem_028,llama,bare,semantic,12,12,1.0,True,
sem_095,llama,bare,semantic,11,12,0.9166666666666666,True,
sem_008,llama,bare,semantic,12,12,1.0,True,
sem_031,llama,bare,semantic,12,12,1.0,True,
sem_003,llama,bare,semantic,12,12,1.0,True,
sem_077,llama,bare,semantic,12,12,1.0,True,
sem_018,llama,bare,semantic,12,12,1.0,True,
sem_091,llama,bare,semantic,12,12,1.0,True,
sem_063,llama,bare,semantic,12,12,1.0,True,
sem_035,llama,bare,semantic,10,12,0.8333333333333334,True,
sem_073,llama,bare,semantic,12,12,1.0,True,
sem_059,llama,bare,semantic,12,12,1.0,True,
sem_033,llama,bare,semantic,12,12,1.0,True,
sem_065,llama,bare,semantic,12,12,1.0,True,
sem_090,llama,bare,semantic,12,12,1.0,True,
sem_075,llama,bare,semantic,12,12,1.0,True,
sem_039,llama,bare,semantic,12,12,1.0,True,
sem_032,llama,bare,semantic,12,12,1.0,True,
sem_040,llama,cot,semantic,9,12,0.75,True,
sem_057,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_061,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_079,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_076,llama,cot,semantic,5,12,0.4166666666666667,True,
sem_049,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_017,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_034,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_064,llama,cot,semantic,12,12,1.0,True,
sem_042,llama,cot,semantic,9,12,0.75,True,
sem_085,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_038,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_036,llama,cot,semantic,12,12,1.0,True,
sem_060,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_048,llama,cot,semantic,6,12,0.5,True,
sem_051,llama,cot,semantic,9,12,0.75,True,
sem_021,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_097,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_083,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_002,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_007,llama,cot,semantic,9,12,0.75,True,
sem_058,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_071,llama,cot,semantic,12,12,1.0,True,
sem_006,llama,cot,semantic,9,12,0.75,True,
sem_029,llama,cot,semantic,9,12,0.75,True,
sem_041,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_081,llama,cot,semantic,12,12,1.0,True,
sem_052,llama,cot,semantic,12,12,1.0,True,
sem_026,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_067,llama,cot,semantic,9,12,0.75,True,
sem_066,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_086,llama,cot,semantic,6,12,0.5,True,
sem_005,llama,cot,semantic,9,12,0.75,True,
sem_023,llama,cot,semantic,9,12,0.75,True,
sem_053,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_001,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_044,llama,cot,semantic,12,12,1.0,True,
sem_019,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_047,llama,cot,semantic,9,12,0.75,True,
sem_096,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_046,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_030,llama,cot,semantic,5,12,0.4166666666666667,True,
sem_011,llama,cot,semantic,9,12,0.75,True,
sem_092,llama,cot,semantic,12,12,1.0,True,
sem_015,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_012,llama,cot,semantic,9,12,0.75,True,
sem_098,llama,cot,semantic,12,12,1.0,True,
sem_100,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_084,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_078,llama,cot,semantic,9,12,0.75,True,
sem_062,llama,cot,semantic,6,12,0.5,True,
sem_013,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_004,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_045,llama,cot,semantic,12,12,1.0,True,
sem_009,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_082,llama,cot,semantic,12,12,1.0,True,
sem_050,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_069,llama,cot,semantic,12,12,1.0,True,
sem_093,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_037,llama,cot,semantic,9,12,0.75,True,
sem_101,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_054,llama,cot,semantic,12,12,1.0,True,
sem_025,llama,cot,semantic,9,12,0.75,True,
sem_056,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_088,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_087,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_022,llama,cot,semantic,12,12,1.0,True,
sem_020,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_024,llama,cot,semantic,12,12,1.0,True,
sem_000,llama,cot,semantic,12,12,1.0,True,
sem_014,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_070,llama,cot,semantic,12,12,1.0,True,
sem_043,llama,cot,semantic,12,12,1.0,True,
sem_010,llama,cot,semantic,9,12,0.75,True,
sem_089,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_074,llama,cot,semantic,12,12,1.0,True,
sem_055,llama,cot,semantic,9,12,0.75,True,
sem_099,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_094,llama,cot,semantic,12,12,1.0,True,
sem_068,llama,cot,semantic,12,12,1.0,True,
sem_072,llama,cot,semantic,12,12,1.0,True,
sem_027,llama,cot,semantic,12,12,1.0,True,
sem_028,llama,cot,semantic,12,12,1.0,True,
sem_095,llama,cot,semantic,12,12,1.0,True,
sem_008,llama,cot,semantic,9,12,0.75,True,
sem_031,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_003,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_077,llama,cot,semantic,6,12,0.5,True,
sem_018,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_091,llama,cot,semantic,11,12,0.9166666666666666,True,
sem_063,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_035,llama,cot,semantic,7,12,0.5833333333333334,True,
sem_073,llama,cot,semantic,10,12,0.8333333333333334,True,
sem_059,llama,cot,semantic,6,12,0.5,True,
sem_033,llama,cot,semantic,12,12,1.0,True,
sem_065,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_090,llama,cot,semantic,8,12,0.6666666666666666,True,
sem_075,llama,cot,semantic,12,12,1.0,True,
sem_039,llama,cot,semantic,4,12,0.3333333333333333,True,
sem_032,llama,cot,semantic,12,12,1.0,True,
epi_assign_040,mistral,bare,episodic,12,12,1.0,True,
epi_room_057,mistral,bare,episodic,2,12,0.16666666666666666,False,engagement 0.17 < 0.33
epi_lead_061,mistral,bare,episodic,12,12,1.0,True,
epi_color_079,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_lead_076,mistral,bare,episodic,12,12,1.0,True,
epi_color_049,mistral,bare,episodic,12,12,1.0,True,
epi_room_017,mistral,bare,episodic,12,12,1.0,True,
epi_dept_098,mistral,bare,episodic,12,12,1.0,True,
epi_color_034,mistral,bare,episodic,2,12,0.16666666666666666,False,engagement 0.17 < 0.33
epi_color_064,mistral,bare,episodic,12,12,1.0,True,
epi_room_042,mistral,bare,episodic,1,12,0.08333333333333333,False,engagement 0.08 < 0.33
epi_assign_085,mistral,bare,episodic,1,12,0.08333333333333333,False,engagement 0.08 < 0.33
epi_dept_038,mistral,bare,episodic,12,12,1.0,True,
epi_lead_036,mistral,bare,episodic,12,12,1.0,True,
epi_assign_060,mistral,bare,episodic,11,12,0.9166666666666666,True,
epi_dept_048,mistral,bare,episodic,12,12,1.0,True,
epi_lead_051,mistral,bare,episodic,12,12,1.0,True,
epi_lead_021,mistral,bare,episodic,12,12,1.0,True,
epi_assign_115,mistral,bare,episodic,2,12,0.16666666666666666,False,engagement 0.17 < 0.33
epi_dept_083,mistral,bare,episodic,12,12,1.0,True,
epi_room_002,mistral,bare,episodic,12,12,1.0,True,
epi_room_007,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_dept_058,mistral,bare,episodic,12,12,1.0,True,
epi_color_084,mistral,bare,episodic,12,12,1.0,True,
epi_lead_071,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_lead_006,mistral,bare,episodic,10,12,0.8333333333333334,True,
epi_dept_093,mistral,bare,episodic,12,12,1.0,True,
epi_assign_100,mistral,bare,episodic,12,12,1.0,True,
epi_color_029,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_lead_041,mistral,bare,episodic,12,12,1.0,True,
epi_room_112,mistral,bare,episodic,12,12,1.0,True,
epi_room_052,mistral,bare,episodic,12,12,1.0,True,
epi_lead_026,mistral,bare,episodic,12,12,1.0,True,
epi_room_067,mistral,bare,episodic,12,12,1.0,True,
epi_lead_066,mistral,bare,episodic,12,12,1.0,True,
epi_dept_103,mistral,bare,episodic,2,12,0.16666666666666666,False,engagement 0.17 < 0.33
epi_assign_005,mistral,bare,episodic,1,12,0.08333333333333333,False,engagement 0.08 < 0.33
epi_dept_023,mistral,bare,episodic,12,12,1.0,True,
epi_dept_053,mistral,bare,episodic,12,12,1.0,True,
epi_lead_001,mistral,bare,episodic,12,12,1.0,True,
epi_color_044,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_color_019,mistral,bare,episodic,12,12,1.0,True,
epi_room_047,mistral,bare,episodic,11,12,0.9166666666666666,True,
epi_assign_105,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_room_022,mistral,bare,episodic,3,12,0.25,False,engagement 0.25 < 0.33
epi_assign_030,mistral,bare,episodic,12,12,1.0,True,
epi_assign_025,mistral,bare,episodic,12,12,1.0,True,
epi_color_099,mistral,bare,episodic,11,12,0.9166666666666666,True,
epi_lead_031,mistral,bare,episodic,12,12,1.0,True,
epi_dept_013,mistral,bare,episodic,12,12,1.0,True,
epi_room_087,mistral,bare,episodic,12,12,1.0,True,
epi_color_009,mistral,bare,episodic,12,12,1.0,True,
epi_dept_018,mistral,bare,episodic,12,12,1.0,True,
epi_color_004,mistral,bare,episodic,0,12,0.0,False,engagement 0.00 < 0.33
epi_room_027,mistral,bare,episodic,12,12,1.0,True,
epi_lead_011,mistral,bare,episodic,12,12,1.0,True,
epi_color_039,mistral,bare,episodic,12,12,1.0,True,
epi_dept_118,mistral,bare,episodic,12,12,1.0,True,
epi_room_037,mistral,bare,episodic,11,12,0.9166666666666666,True,
epi_lead_116,mistral,bare,episodic,12,12,1.0,True,
epi_color_119,mistral,bare,episodic,12,12,1.0,True,
epi_lead_101,mistral,bare,episodic,12,12,1.0,True,
epi_lead_056,mistral,bare,episodic,2,12,0.16666666666666666,False,engagement 0.17 < 0.33
epi_assign_015,mistral,bare,episodic,12,12,1.0,True,
epi_dept_073,mistral,bare,episodic,12,12,1.0,True,
epi_room_012,mistral,bare,episodic,11,12,0.9166666666666666,True,
epi_color_074,mistral,bare,episodic,3,12,0.25,False,engagement 0.25 < 0.33
epi_assign_070,mistral,bare,episodic,9,12,0.75,True,
